vel_1,vel_2
0.00581481,0
0.0290741,0
0.0610556,0
0.0377963,0
0.0377963,0
0.0697778,0
0.0465185,0
0.0610556,0
0.0697778,0
0.0785,0
0.0785,0
0.0785,0
0.0465185,0
0.0785,0
0.0785,0
0.0697778,0
0.0552407,0
0.0872222,0
0.0872222,0
0.101759,0
0.0785,0
0.0697778,0
0.0785,0
0.101759,0
0.0872222,0
0.101759,0
0.119204,0
0.101759,0
0.093037,0
0.119204,0
0.110481,0
0.101759,0
0.093037,0
0.119204,0
0.110481,0
0.125019,0
0.133741,0
0.119204,0
0.151185,0
0.125019,0
0.174444,0
0.133741,0
0.157,0
0.157,0
0.157,0
0.174444,0
0.157,0
0.157,0
0.183167,0
0.188981,0
0.183167,0
0.183167,0
0.183167,0
0.165722,0
0.188981,0
0.183167,0
0.183167,0
0.197704,0
0.206426,0
0.188981,0
0.183167,0
0.197704,0
0.197704,0
0.229685,0
0.220963,0
0.215148,0
0.215148,0
0.229685,0
0.252944,0
0.252944,0
0.238407,0
0.238407,0
0.238407,0
0.229685,0
0.238407,0
0.238407,0
0.229685,0
0.24713,0
0.238407,0
0.220963,0
0.229685,0
0.229685,-0.0232593
0.24713,0
0.229685,0
0.24713,0
0.252944,-0.014537
0.24713,0
0.252944,-0.0377963
0.252944,-0.014537
0.252944,-0.0377963
0.229685,-0.0232593
0.252944,-0.0552407
0.229685,-0.0232593
